reaction_id,flux,reaction_name,reaction_formula,lower_bound,upper_bound,absolute_flux
ATPS4r,45.51400977451776,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,-1000.0,1000.0,45.51400977451776
CYTBD,43.59898531199778,cytochrome oxidase bd (ubiquinol-8: 2 protons),2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,0.0,1000.0,43.59898531199778
NADH16,38.53460965051561,NADH dehydrogenase (ubiquinone-8 & 3 protons),4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,0.0,1000.0,38.53460965051561
EX_h2o_e,29.175827135565836,H2O exchange,h2o_e <=> ,-1000.0,1000.0,29.175827135565836
H2Ot,-29.175827135565836,R H2O transport via - diffusion,h2o_e <=> h2o_c,-1000.0,1000.0,29.175827135565836
EX_co2_e,22.809833310205086,CO2 exchange,co2_e <=> ,-1000.0,1000.0,22.809833310205086
CO2t,-22.809833310205086,R CO2 transporter via - diffusion,co2_e <=> co2_c,-1000.0,1000.0,22.809833310205086
EX_o2_e,-21.799492655998886,O2 exchange,o2_e <=> ,-1000.0,1000.0,21.799492655998886
O2t,21.799492655998886,R o2 - transport-diffusion,o2_e <=> o2_c,-1000.0,1000.0,21.799492655998886
EX_h_e,17.530865429786523,H+ exchange,h_e <=> ,-1000.0,1000.0,17.530865429786523
PGK,-16.02352614316763,phosphoglycerate kinase,3pg_c + atp_c <=> 13dpg_c + adp_c,-1000.0,1000.0,16.02352614316763
GAPD,16.023526143167626,glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,-1000.0,1000.0,16.023526143167626
PGM,-14.716139568742859,phosphoglycerate mutase,2pg_c <=> 3pg_c,-1000.0,1000.0,14.716139568742859
ENO,14.716139568742859,enolase,2pg_c <=> h2o_c + pep_c,-1000.0,1000.0,14.716139568742859
GLCpts,10.000000000000002,D-glucose transport via PEP:Pyr PTS,glc__D_e + pep_c --> g6p_c + pyr_c,0.0,1000.0,10.000000000000002
EX_glc__D_e,-10.0,D-Glucose exchange,glc__D_e <=> ,-10.0,1000.0,10.0
PDH,9.282532599166657,pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,0.0,1000.0,9.282532599166657
ATPM,8.39,ATP maintenance requirement,atp_c + h2o_c --> adp_c + h_c + pi_c,8.39,1000.0,8.39
PFK,7.477381962160304,phosphofructokinase,atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0,1000.0,7.477381962160304
TPI,7.477381962160304,triose-phosphate isomerase,dhap_c <=> g3p_c,-1000.0,1000.0,7.477381962160304
FBA,7.477381962160304,fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,-1000.0,1000.0,7.477381962160304
ICDHyr,6.007249575350396,isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,-1000.0,1000.0,6.007249575350396
CS,6.007249575350396,citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,0.0,1000.0,6.007249575350396
ACONTb,6.007249575350396,"aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <=> icit_c,-1000.0,1000.0,6.007249575350396
ACONTa,6.007249575350396,"aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <=> acon_C_c + h2o_c,-1000.0,1000.0,6.007249575350396
FUM,5.064375661482159,fumarase,fum_c + h2o_c <=> mal__L_c,-1000.0,1000.0,5.064375661482159
SUCDi,5.064375661482159,succinate dehydrogenase (irreversible),q8_c + succ_c --> fum_c + q8h2_c,0.0,1000.0,5.064375661482159
SUCOAS,-5.064375661482159,succinyl-CoA synthetase (ADP-forming),atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,-1000.0,1000.0,5.064375661482159
