reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,27.209369190837176,27.209369190837176,iJO1366,acetate_aerobic
CYTBO3_4pp,18.64867704060738,18.64867704060738,iJO1366,acetate_aerobic
EX_h2o_e,16.38134920829445,16.38134920829445,iJO1366,acetate_aerobic
H2Otpp,-16.38134920829445,16.38134920829445,iJO1366,acetate_aerobic
H2Otex,-16.381349208294445,16.381349208294445,iJO1366,acetate_aerobic
NADH16pp,12.286786013096991,12.286786013096991,iJO1366,acetate_aerobic
ACKr,10.144012130363839,10.144012130363839,iJO1366,acetate_aerobic
PTAr,-10.144012130363839,10.144012130363839,iJO1366,acetate_aerobic
ACtex,10.000000002215385,10.000000002215385,iJO1366,acetate_aerobic
ACt2rpp,10.000000002215385,10.000000002215385,iJO1366,acetate_aerobic
EX_ac_e,-10.0,10.0,iJO1366,acetate_aerobic
CO2tex,-9.852885421928308,9.852885421928308,iJO1366,acetate_aerobic
EX_co2_e,9.852885421928308,9.852885421928308,iJO1366,acetate_aerobic
CO2tpp,-9.852885421928308,9.852885421928308,iJO1366,acetate_aerobic
O2tpp,9.325386272560282,9.325386272560282,iJO1366,acetate_aerobic
EX_o2_e,-9.325386272560282,9.325386272560282,iJO1366,acetate_aerobic
O2tex,9.325386272560282,9.325386272560282,iJO1366,acetate_aerobic
MDH,8.49664679158067,8.49664679158067,iJO1366,acetate_aerobic
EX_h_e,-7.728679446776003,7.728679446776003,iJO1366,acetate_aerobic
Htex,7.728679446776003,7.728679446776003,iJO1366,acetate_aerobic
FUM,6.553776241117923,6.553776241117923,iJO1366,acetate_aerobic
ACONTa,6.545574371574975,6.545574371574975,iJO1366,acetate_aerobic
CS,6.545574371574975,6.545574371574975,iJO1366,acetate_aerobic
ACONTb,6.545574371574974,6.545574371574974,iJO1366,acetate_aerobic
SUCDi,6.361725651333161,6.361725651333161,iJO1366,acetate_aerobic
ICDHyr,4.602869197155408,4.602869197155408,iJO1366,acetate_aerobic
AKGDH,4.337082951089326,4.337082951089326,iJO1366,acetate_aerobic
SUCOAS,-4.207338152848414,4.207338152848414,iJO1366,acetate_aerobic
ATPM,3.15,3.15,iJO1366,acetate_aerobic
