reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,55.81524739984228,55.81524739984228,iJO1366,fructose_aerobic
H2Otpp,-45.619430370035055,45.619430370035055,iJO1366,fructose_aerobic
H2Otex,-45.61943037003505,45.61943037003505,iJO1366,fructose_aerobic
EX_h2o_e,45.61943037003505,45.61943037003505,iJO1366,fructose_aerobic
CYTBO3_4pp,35.14953949465204,35.14953949465204,iJO1366,fructose_aerobic
NADH16pp,31.02172306721885,31.02172306721885,iJO1366,fructose_aerobic
EX_co2_e,19.675222635663175,19.675222635663175,iJO1366,fructose_aerobic
CO2tex,-19.675222635663175,19.675222635663175,iJO1366,fructose_aerobic
CO2tpp,-19.675222635663175,19.675222635663175,iJO1366,fructose_aerobic
O2tpp,17.57893353025426,17.57893353025426,iJO1366,fructose_aerobic
O2tex,17.57893353025426,17.57893353025426,iJO1366,fructose_aerobic
EX_o2_e,-17.57893353025426,17.57893353025426,iJO1366,fructose_aerobic
GAPD,16.27477463458947,16.27477463458947,iJO1366,fructose_aerobic
PGK,-16.27477463458947,16.27477463458947,iJO1366,fructose_aerobic
PGM,-14.586890401186805,14.586890401186805,iJO1366,fructose_aerobic
ENO,14.586890401186805,14.586890401186805,iJO1366,fructose_aerobic
EX_nh4_e,-10.610425051825114,10.610425051825114,iJO1366,fructose_aerobic
NH4tex,10.610425051825114,10.610425051825114,iJO1366,fructose_aerobic
NH4tpp,10.610425051825114,10.610425051825114,iJO1366,fructose_aerobic
FRUtex,10.0,10.0,iJO1366,fructose_aerobic
EX_fru_e,-10.0,10.0,iJO1366,fructose_aerobic
EX_h_e,9.026260125596087,9.026260125596087,iJO1366,fructose_aerobic
Htex,-9.026260125596087,9.026260125596087,iJO1366,fructose_aerobic
GLUDy,-8.400956398685935,8.400956398685935,iJO1366,fructose_aerobic
PDH,7.969186891483099,7.969186891483099,iJO1366,fructose_aerobic
FRUK,7.7841859777290505,7.7841859777290505,iJO1366,fructose_aerobic
FBA,7.7841859777290505,7.7841859777290505,iJO1366,fructose_aerobic
FRUptspp,7.7841859777290505,7.7841859777290505,iJO1366,fructose_aerobic
TPI,7.645370946359854,7.645370946359854,iJO1366,fructose_aerobic
CS,4.857776644226276,4.857776644226276,iJO1366,fructose_aerobic
ACONTb,4.857776644226275,4.857776644226275,iJO1366,fructose_aerobic
ACONTa,4.857776644226275,4.857776644226275,iJO1366,fructose_aerobic
ICDHyr,4.857776644226275,4.857776644226275,iJO1366,fructose_aerobic
FUM,4.8259988808282195,4.8259988808282195,iJO1366,fructose_aerobic
MDH,4.825277819917676,4.825277819917676,iJO1366,fructose_aerobic
SUCDi,4.127159220690469,4.127159220690469,iJO1366,fructose_aerobic
G6PDH2r,4.081934853516555,4.081934853516555,iJO1366,fructose_aerobic
PGI,-4.081934853516555,4.081934853516555,iJO1366,fructose_aerobic
GND,4.081934853516554,4.081934853516554,iJO1366,fructose_aerobic
PGL,4.081934853516554,4.081934853516554,iJO1366,fructose_aerobic
AKGDH,3.801538330156733,3.801538330156733,iJO1366,fructose_aerobic
PPK,-3.441826094608493,3.441826094608493,iJO1366,fructose_aerobic
SUCOAS,-3.285930660528853,3.285930660528853,iJO1366,fructose_aerobic
ATPM,3.15,3.15,iJO1366,fructose_aerobic
PPC,2.9071898829680767,2.9071898829680767,iJO1366,fructose_aerobic
ASPTA,-2.8760693263127353,2.8760693263127353,iJO1366,fructose_aerobic
PPM,-2.5793507968812395,2.5793507968812395,iJO1366,fructose_aerobic
R1PK,2.578689660651274,2.578689660651274,iJO1366,fructose_aerobic
R15BPK,2.578689660651274,2.578689660651274,iJO1366,fructose_aerobic
FRUpts2pp,2.2158140222709495,2.2158140222709495,iJO1366,fructose_aerobic
FADRx,2.1473567217217684,2.1473567217217684,iJO1366,fructose_aerobic
RPI,-2.0838893467962176,2.0838893467962176,iJO1366,fructose_aerobic
RPE,1.9589431790865526,1.9589431790865526,iJO1366,fructose_aerobic
GLNS,1.7786971397006905,1.7786971397006905,iJO1366,fructose_aerobic
PSERT,1.6878842334026651,1.6878842334026651,iJO1366,fructose_aerobic
PGCD,1.687884233402665,1.687884233402665,iJO1366,fructose_aerobic
PSP_L,1.687884233402665,1.687884233402665,iJO1366,fructose_aerobic
PRPPS,-1.6622428555327633,1.6622428555327633,iJO1366,fructose_aerobic
TALA,1.1667814054477414,1.1667814054477414,iJO1366,fructose_aerobic
TKT1,1.1667814054477414,1.1667814054477414,iJO1366,fructose_aerobic
GHMT2r,1.0958166008466184,1.0958166008466184,iJO1366,fructose_aerobic
ASPK,1.050230128062904,1.050230128062904,iJO1366,fructose_aerobic
ASAD,-1.050230128062904,1.050230128062904,iJO1366,fructose_aerobic
ALATA_L,-0.9868101685768762,0.9868101685768762,iJO1366,fructose_aerobic
BIOMASS_Ec_iJO1366_core_53p95M,0.9823718127269758,0.9823718127269758,iJO1366,fructose_aerobic
MTHFC,0.9713309359237686,0.9713309359237686,iJO1366,fructose_aerobic
MTHFD,0.9713309359237685,0.9713309359237685,iJO1366,fructose_aerobic
PItex,0.9476263040826731,0.9476263040826731,iJO1366,fructose_aerobic
PIt2rpp,0.9476263040826731,0.9476263040826731,iJO1366,fructose_aerobic
EX_pi_e,-0.9476263040826731,0.9476263040826731,iJO1366,fructose_aerobic
PYK,0.8653751925204571,0.8653751925204571,iJO1366,fructose_aerobic
ACLS,0.8588572223410009,0.8588572223410009,iJO1366,fructose_aerobic
KARA1,-0.8588572223410009,0.8588572223410009,iJO1366,fructose_aerobic
DHAD1,0.8588572223410008,0.8588572223410008,iJO1366,fructose_aerobic
TKT2,0.7921617736388108,0.7921617736388108,iJO1366,fructose_aerobic
NDPK1,0.776687714437284,0.776687714437284,iJO1366,fructose_aerobic
HSDy,-0.6858202865036455,0.6858202865036455,iJO1366,fructose_aerobic
CBMKr,0.6155414070211579,0.6155414070211579,iJO1366,fructose_aerobic
ACKr,0.572306241171231,0.572306241171231,iJO1366,fructose_aerobic
PTAr,-0.572306241171231,0.572306241171231,iJO1366,fructose_aerobic
THRS,0.5346224584350239,0.5346224584350239,iJO1366,fructose_aerobic
HSK,0.5346224584350238,0.5346224584350238,iJO1366,fructose_aerobic
IMPC,-0.5331852484730227,0.5331852484730227,iJO1366,fructose_aerobic
AICART,0.5331852484730227,0.5331852484730227,iJO1366,fructose_aerobic
HCO3E,0.5165753058634349,0.5165753058634349,iJO1366,fructose_aerobic
IPPMIa,-0.4425889551596976,0.4425889551596976,iJO1366,fructose_aerobic
IPPS,0.44258895515969754,0.44258895515969754,iJO1366,fructose_aerobic
IPMD,0.44258895515969754,0.44258895515969754,iJO1366,fructose_aerobic
IPPMIb,-0.44258895515969754,0.44258895515969754,iJO1366,fructose_aerobic
LEUTAi,0.44258895515969754,0.44258895515969754,iJO1366,fructose_aerobic
OMCDC,0.44258895515969754,0.44258895515969754,iJO1366,fructose_aerobic
PRAIS,0.4403363765931326,0.4403363765931326,iJO1366,fructose_aerobic
PRAGSr,0.4403363765931326,0.4403363765931326,iJO1366,fructose_aerobic
GLUPRT,0.4403363765931325,0.4403363765931325,iJO1366,fructose_aerobic
PRFGS,0.4403363765931325,0.4403363765931325,iJO1366,fructose_aerobic
PRASCSi,0.4401173076788945,0.4401173076788945,iJO1366,fructose_aerobic
ADSL2r,0.44011730767889445,0.44011730767889445,iJO1366,fructose_aerobic
AIRC2,0.44011730767889445,0.44011730767889445,iJO1366,fructose_aerobic
AIRC3,-0.44011730767889445,0.44011730767889445,iJO1366,fructose_aerobic
GARFT,0.43792661853650766,0.43792661853650766,iJO1366,fructose_aerobic
NDPK2,0.4177860316319666,0.4177860316319666,iJO1366,fructose_aerobic
VPAMTr,0.41570242101717253,0.41570242101717253,iJO1366,fructose_aerobic
CHORS,0.3744005628946924,0.3744005628946924,iJO1366,fructose_aerobic
PSCVT,0.3744005628946924,0.3744005628946924,iJO1366,fructose_aerobic
DDPA,0.3744005628946924,0.3744005628946924,iJO1366,fructose_aerobic
DHQTi,0.3744005628946924,0.3744005628946924,iJO1366,fructose_aerobic
DHQS,0.3744005628946924,0.3744005628946924,iJO1366,fructose_aerobic
SHK3Dr,0.37440056289469237,0.37440056289469237,iJO1366,fructose_aerobic
SHKK,0.37440056289469237,0.37440056289469237,iJO1366,fructose_aerobic
UMPK,0.37137485771149326,0.37137485771149326,iJO1366,fructose_aerobic
DHDPRy,0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
SDPDS,0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
SDPTA,-0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
DHDPS,0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
DAPE,0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
THDPS,0.364409841559259,0.364409841559259,iJO1366,fructose_aerobic
ACOAD5f,-0.34960648071327627,0.34960648071327627,iJO1366,fructose_aerobic
ECOAH5,0.34960648071327627,0.34960648071327627,iJO1366,fructose_aerobic
HACD5,0.3496064807132762,0.3496064807132762,iJO1366,fructose_aerobic
ACACT4r,0.34960648071327616,0.34960648071327616,iJO1366,fructose_aerobic
ACACT5r,0.34960648071327616,0.34960648071327616,iJO1366,fructose_aerobic
ECOAH4,0.34960648071327616,0.34960648071327616,iJO1366,fructose_aerobic
ACOAD4f,-0.34960648071327616,0.34960648071327616,iJO1366,fructose_aerobic
HACD4,0.34960648071327616,0.34960648071327616,iJO1366,fructose_aerobic
ACOAD3f,-0.3496064807132761,0.3496064807132761,iJO1366,fructose_aerobic
ECOAH3,0.3496064807132761,0.3496064807132761,iJO1366,fructose_aerobic
ACACT3r,0.3496064807132761,0.3496064807132761,iJO1366,fructose_aerobic
HACD3,0.3496064807132761,0.3496064807132761,iJO1366,fructose_aerobic
ECOAH2,0.34960648071327605,0.34960648071327605,iJO1366,fructose_aerobic
ECOAH1,0.34960648071327605,0.34960648071327605,iJO1366,fructose_aerobic
ACOAD2f,-0.34960648071327605,0.34960648071327605,iJO1366,fructose_aerobic
ACACT1r,0.34960648071327605,0.34960648071327605,iJO1366,fructose_aerobic
