reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,54.75270520647273,54.75270520647273,iJO1366,galactose_aerobic
H2Otex,-45.7712202120237,45.7712202120237,iJO1366,galactose_aerobic
EX_h2o_e,45.7712202120237,45.7712202120237,iJO1366,galactose_aerobic
H2Otpp,-45.7712202120237,45.7712202120237,iJO1366,galactose_aerobic
CYTBO3_4pp,36.04515339063423,36.04515339063423,iJO1366,galactose_aerobic
NADH16pp,31.70758201732216,31.70758201732216,iJO1366,galactose_aerobic
CO2tpp,-20.10085887552316,20.10085887552316,iJO1366,galactose_aerobic
EX_co2_e,20.10085887552316,20.10085887552316,iJO1366,galactose_aerobic
CO2tex,-20.10085887552316,20.10085887552316,iJO1366,galactose_aerobic
EX_o2_e,-18.026696528668328,18.026696528668328,iJO1366,galactose_aerobic
O2tpp,18.026696528668328,18.026696528668328,iJO1366,galactose_aerobic
O2tex,18.026696528668328,18.026696528668328,iJO1366,galactose_aerobic
GAPD,16.35631596206898,16.35631596206898,iJO1366,galactose_aerobic
PGK,-16.35631596206898,16.35631596206898,iJO1366,galactose_aerobic
PGM,-14.686247690597924,14.686247690597924,iJO1366,galactose_aerobic
ENO,14.686247690597924,14.686247690597924,iJO1366,galactose_aerobic
NH4tpp,10.498429853895836,10.498429853895836,iJO1366,galactose_aerobic
NH4tex,10.498429853895836,10.498429853895836,iJO1366,galactose_aerobic
EX_nh4_e,-10.498429853895836,10.498429853895836,iJO1366,galactose_aerobic
GALKr,10.000000000000002,10.000000000000002,iJO1366,galactose_aerobic
UGLT,10.000000000000002,10.000000000000002,iJO1366,galactose_aerobic
UDPG4E,-10.000000000000002,10.000000000000002,iJO1366,galactose_aerobic
EX_gal_e,-10.0,10.0,iJO1366,galactose_aerobic
GALtex,10.0,10.0,iJO1366,galactose_aerobic
GALt2pp,10.0,10.0,iJO1366,galactose_aerobic
PGMT,9.999999999999998,9.999999999999998,iJO1366,galactose_aerobic
EX_h_e,8.930986111181626,8.930986111181626,iJO1366,galactose_aerobic
Htex,-8.930986111181626,8.930986111181626,iJO1366,galactose_aerobic
GLUDy,-8.312282592493386,8.312282592493386,iJO1366,galactose_aerobic
PDH,8.138395389567494,8.138395389567494,iJO1366,galactose_aerobic
TPI,7.712445350557021,7.712445350557021,iJO1366,galactose_aerobic
DHAPT,6.737550185831224,6.737550185831224,iJO1366,galactose_aerobic
F6PA,6.737550185831224,6.737550185831224,iJO1366,galactose_aerobic
PGI,6.087813245000619,6.087813245000619,iJO1366,galactose_aerobic
CS,5.0598267113127555,5.0598267113127555,iJO1366,galactose_aerobic
ICDHyr,5.059826711312755,5.059826711312755,iJO1366,galactose_aerobic
ACONTa,5.059826711312755,5.059826711312755,iJO1366,galactose_aerobic
ACONTb,5.059826711312754,5.059826711312754,iJO1366,galactose_aerobic
FUM,5.02838436868104,5.02838436868104,iJO1366,galactose_aerobic
MDH,5.0276709187153,5.0276709187153,iJO1366,galactose_aerobic
SUCDi,4.3369211035204165,4.3369211035204165,iJO1366,galactose_aerobic
PYK,4.266463647257912,4.266463647257912,iJO1366,galactose_aerobic
AKGDH,4.014737207820266,4.014737207820266,iJO1366,galactose_aerobic
PPK,-3.9717623512348745,3.9717623512348745,iJO1366,galactose_aerobic
GND,3.9121867549993805,3.9121867549993805,iJO1366,galactose_aerobic
G6PDH2r,3.91218675499938,3.91218675499938,iJO1366,galactose_aerobic
PGL,3.9121867549993796,3.9121867549993796,iJO1366,galactose_aerobic
SUCOAS,-3.50457188218255,3.50457188218255,iJO1366,galactose_aerobic
ATPM,3.15,3.15,iJO1366,galactose_aerobic
PPC,2.8765039015138933,2.8765039015138933,iJO1366,galactose_aerobic
ASPTA,-2.8457118286738425,2.8457118286738425,iJO1366,galactose_aerobic
ADK1,2.2109629757761606,2.2109629757761606,iJO1366,galactose_aerobic
FADRx,2.12469093407428,2.12469093407428,iJO1366,galactose_aerobic
RPI,-2.0196726553586446,2.0196726553586446,iJO1366,galactose_aerobic
RPE,1.8538245050408697,1.8538245050408697,iJO1366,galactose_aerobic
GLNS,1.759922629043121,1.759922629043121,iJO1366,galactose_aerobic
PGCD,1.6700682714710564,1.6700682714710564,iJO1366,galactose_aerobic
PSERT,1.6700682714710564,1.6700682714710564,iJO1366,galactose_aerobic
PSP_L,1.6700682714710564,1.6700682714710564,iJO1366,galactose_aerobic
TKT1,1.1122449751601269,1.1122449751601269,iJO1366,galactose_aerobic
FBA3,1.1122449751601269,1.1122449751601269,iJO1366,galactose_aerobic
PFK_3,1.1122449751601267,1.1122449751601267,iJO1366,galactose_aerobic
GHMT2r,1.0842500333899538,1.0842500333899538,iJO1366,galactose_aerobic
ASAD,-1.0391447351131098,1.0391447351131098,iJO1366,galactose_aerobic
