model_name,condition,blocked_reaction_id
iJO1366,glucose_anaerobic,DM_aacald_c
iJO1366,glucose_anaerobic,EX_14glucan_e
iJO1366,glucose_anaerobic,EX_23camp_e
iJO1366,glucose_anaerobic,EX_23ccmp_e
iJO1366,glucose_anaerobic,EX_23cgmp_e
iJO1366,glucose_anaerobic,EX_23cump_e
iJO1366,glucose_anaerobic,EX_23dappa_e
iJO1366,glucose_anaerobic,EX_26dap__M_e
iJO1366,glucose_anaerobic,EX_2ddglcn_e
iJO1366,glucose_anaerobic,EX_34dhpac_e
iJO1366,glucose_anaerobic,EX_3amp_e
iJO1366,glucose_anaerobic,EX_3cmp_e
iJO1366,glucose_anaerobic,EX_3gmp_e
iJO1366,glucose_anaerobic,EX_3hcinnm_e
iJO1366,glucose_anaerobic,EX_3hpp_e
iJO1366,glucose_anaerobic,EX_3hpppn_e
iJO1366,glucose_anaerobic,EX_3ump_e
iJO1366,glucose_anaerobic,EX_4hoxpacd_e
iJO1366,glucose_anaerobic,EX_5dglcn_e
iJO1366,glucose_anaerobic,EX_LalaDglu_e
iJO1366,glucose_anaerobic,EX_LalaLglu_e
iJO1366,glucose_anaerobic,EX_acac_e
iJO1366,glucose_anaerobic,EX_acgal_e
iJO1366,glucose_anaerobic,EX_acgal1p_e
iJO1366,glucose_anaerobic,EX_acgam_e
iJO1366,glucose_anaerobic,EX_acgam1p_e
iJO1366,glucose_anaerobic,EX_acmana_e
iJO1366,glucose_anaerobic,EX_acmum_e
iJO1366,glucose_anaerobic,EX_acnam_e
iJO1366,glucose_anaerobic,EX_adocbl_e
iJO1366,glucose_anaerobic,EX_ag_e
iJO1366,glucose_anaerobic,EX_ala_B_e
iJO1366,glucose_anaerobic,EX_all__D_e
iJO1366,glucose_anaerobic,EX_amp_e
iJO1366,glucose_anaerobic,EX_arab__L_e
iJO1366,glucose_anaerobic,EX_arbt_e
iJO1366,glucose_anaerobic,EX_arbtn_e
iJO1366,glucose_anaerobic,EX_arbtn_fe3_e
iJO1366,glucose_anaerobic,EX_ascb__L_e
