reaction_id,flux,absolute_flux,model_name,condition
EX_h_e,27.87206952577826,27.87206952577826,iJO1366,glucose_anaerobic
Htex,-27.87206952577826,27.87206952577826,iJO1366,glucose_anaerobic
PGK,-19.41852341839149,19.41852341839149,iJO1366,glucose_anaerobic
GAPD,19.41852341839149,19.41852341839149,iJO1366,glucose_anaerobic
ENO,19.01676915605446,19.01676915605446,iJO1366,glucose_anaerobic
PGM,-19.01676915605446,19.01676915605446,iJO1366,glucose_anaerobic
PFL,17.309694147576018,17.309694147576018,iJO1366,glucose_anaerobic
FORtppi,17.283320004027,17.283320004027,iJO1366,glucose_anaerobic
EX_for_e,17.283320004027,17.283320004027,iJO1366,glucose_anaerobic
FORtex,-17.283320004027,17.283320004027,iJO1366,glucose_anaerobic
GLCptspp,10.0,10.0,iJO1366,glucose_anaerobic
GLCtex_copy1,10.0,10.0,iJO1366,glucose_anaerobic
EX_glc__D_e,-10.0,10.0,iJO1366,glucose_anaerobic
PGI,10.0,10.0,iJO1366,glucose_anaerobic
TALA,-9.837391930073775,9.837391930073775,iJO1366,glucose_anaerobic
PFK_3,9.789697546061099,9.789697546061099,iJO1366,glucose_anaerobic
FBA3,9.789697546061099,9.789697546061099,iJO1366,glucose_anaerobic
TPI,9.755571927033923,9.755571927033923,iJO1366,glucose_anaerobic
ACt2rpp,-8.20763183383833,8.20763183383833,iJO1366,glucose_anaerobic
ACtex,-8.20763183383833,8.20763183383833,iJO1366,glucose_anaerobic
EX_ac_e,8.20763183383833,8.20763183383833,iJO1366,glucose_anaerobic
ACALD,-8.077669219895812,8.077669219895812,iJO1366,glucose_anaerobic
ETOHtex,-8.077669219895808,8.077669219895808,iJO1366,glucose_anaerobic
ETOHtrpp,-8.077669219895808,8.077669219895808,iJO1366,glucose_anaerobic
ALCD2x,-8.077669219895808,8.077669219895808,iJO1366,glucose_anaerobic
EX_etoh_e,8.077669219895808,8.077669219895808,iJO1366,glucose_anaerobic
PTAr,8.066938822710883,8.066938822710883,iJO1366,glucose_anaerobic
ACKr,-8.066938822710881,8.066938822710881,iJO1366,glucose_anaerobic
PYK,8.021679136646084,8.021679136646084,iJO1366,glucose_anaerobic
ATPS4rpp,-6.498006053930076,6.498006053930076,iJO1366,glucose_anaerobic
ATPM,3.15,3.15,iJO1366,glucose_anaerobic
THD2pp,2.954705379657331,2.954705379657331,iJO1366,glucose_anaerobic
NH4tpp,2.6084158139325475,2.6084158139325475,iJO1366,glucose_anaerobic
NH4tex,2.6084158139325475,2.6084158139325475,iJO1366,glucose_anaerobic
EX_nh4_e,-2.6084158139325475,2.6084158139325475,iJO1366,glucose_anaerobic
GLUDy,-2.0520636053150922,2.0520636053150922,iJO1366,glucose_anaerobic
H2Otpp,1.7087930541477987,1.7087930541477987,iJO1366,glucose_anaerobic
EX_h2o_e,-1.7087930541477838,1.7087930541477838,iJO1366,glucose_anaerobic
H2Otex,1.7087930541477763,1.7087930541477763,iJO1366,glucose_anaerobic
PPK,-0.8464999073638412,0.8464999073638412,iJO1366,glucose_anaerobic
PPC,0.7949002016713543,0.7949002016713543,iJO1366,glucose_anaerobic
ASPTA,-0.7070390371806979,0.7070390371806979,iJO1366,glucose_anaerobic
FADRx,0.5278958386431544,0.5278958386431544,iJO1366,glucose_anaerobic
GLNS,0.4372663418034917,0.4372663418034917,iJO1366,glucose_anaerobic
ADK1,0.4087454909134391,0.4087454909134391,iJO1366,glucose_anaerobic
PSERT,0.40175426233703193,0.40175426233703193,iJO1366,glucose_anaerobic
PSP_L,0.40175426233703193,0.40175426233703193,iJO1366,glucose_anaerobic
PGCD,0.4017542623370319,0.4017542623370319,iJO1366,glucose_anaerobic
ACONTa,0.25966054217843093,0.25966054217843093,iJO1366,glucose_anaerobic
CS,0.25966054217843093,0.25966054217843093,iJO1366,glucose_anaerobic
ACONTb,0.2596605421784309,0.2596605421784309,iJO1366,glucose_anaerobic
ICDHyr,0.2596605421784309,0.2596605421784309,iJO1366,glucose_anaerobic
ASAD,-0.2581835186552246,0.2581835186552246,iJO1366,glucose_anaerobic
ASPK,0.2581835186552246,0.2581835186552246,iJO1366,glucose_anaerobic
GHMT2r,0.25620320588701845,0.25620320588701845,iJO1366,glucose_anaerobic
VALTA,-0.24259266113214487,0.24259266113214487,iJO1366,glucose_anaerobic
BIOMASS_Ec_iJO1366_core_53p95M,0.24150155709717983,0.24150155709717983,iJO1366,glucose_anaerobic
EX_pi_e,-0.23295988852415658,0.23295988852415658,iJO1366,glucose_anaerobic
PItex,0.23295988852415658,0.23295988852415658,iJO1366,glucose_anaerobic
PIt2rpp,0.23295988852415658,0.23295988852415658,iJO1366,glucose_anaerobic
R15BPK,0.2255651108458817,0.2255651108458817,iJO1366,glucose_anaerobic
PPM,-0.2255651108458817,0.2255651108458817,iJO1366,glucose_anaerobic
R1PK,0.2255651108458817,0.2255651108458817,iJO1366,glucose_anaerobic
MTHFC,0.21241317754792943,0.21241317754792943,iJO1366,glucose_anaerobic
MTHFD,0.2124131775479294,0.2124131775479294,iJO1366,glucose_anaerobic
ACLS,0.21113732482179431,0.21113732482179431,iJO1366,glucose_anaerobic
DHAD1,0.21113732482179431,0.21113732482179431,iJO1366,glucose_anaerobic
KARA1,-0.21113732482179431,0.21113732482179431,iJO1366,glucose_anaerobic
NDPK1,0.1909371685799454,0.1909371685799454,iJO1366,glucose_anaerobic
RPE,-0.1874834548119047,0.1874834548119047,iJO1366,glucose_anaerobic
RPI,-0.17787072683320454,0.17787072683320454,iJO1366,glucose_anaerobic
MDH,0.1723495182348425,0.1723495182348425,iJO1366,glucose_anaerobic
FUM,0.17179937768777256,0.17179937768777256,iJO1366,glucose_anaerobic
HSDy,-0.16859875755158282,0.16859875755158282,iJO1366,glucose_anaerobic
CBMKr,0.15132173615685066,0.15132173615685066,iJO1366,glucose_anaerobic
VPAMTr,-0.14039837922778808,0.14039837922778808,iJO1366,glucose_anaerobic
TKT2,-0.13978907079922748,0.13978907079922748,iJO1366,glucose_anaerobic
THRS,0.1314290113971988,0.1314290113971988,iJO1366,glucose_anaerobic
HSK,0.1314290113971988,0.1314290113971988,iJO1366,glucose_anaerobic
IMPC,-0.13107569461915639,0.13107569461915639,iJO1366,glucose_anaerobic
AICART,0.13107569461915639,0.13107569461915639,iJO1366,glucose_anaerobic
HCO3E,0.12699238629175727,0.12699238629175727,iJO1366,glucose_anaerobic
PPCSCT,0.12675450725802584,0.12675450725802584,iJO1366,glucose_anaerobic
ACCOAL,0.1267545072580258,0.1267545072580258,iJO1366,glucose_anaerobic
IPMD,0.10880393802054958,0.10880393802054958,iJO1366,glucose_anaerobic
IPPS,0.10880393802054956,0.10880393802054956,iJO1366,glucose_anaerobic
IPPMIa,-0.10880393802054956,0.10880393802054956,iJO1366,glucose_anaerobic
OMCDC,0.10880393802054956,0.10880393802054956,iJO1366,glucose_anaerobic
IPPMIb,-0.10880393802054955,0.10880393802054955,iJO1366,glucose_anaerobic
LEUTAi,0.10880393802054955,0.10880393802054955,iJO1366,glucose_anaerobic
PRAGSr,0.10825017495011638,0.10825017495011638,iJO1366,glucose_anaerobic
PRAIS,0.10825017495011638,0.10825017495011638,iJO1366,glucose_anaerobic
PRFGS,0.10825017495011638,0.10825017495011638,iJO1366,glucose_anaerobic
GLUPRT,0.10825017495011637,0.10825017495011637,iJO1366,glucose_anaerobic
PRASCSi,0.10819632010288376,0.10819632010288376,iJO1366,glucose_anaerobic
ADSL2r,0.10819632010288374,0.10819632010288374,iJO1366,glucose_anaerobic
AIRC3,-0.10819632010288374,0.10819632010288374,iJO1366,glucose_anaerobic
AIRC2,0.10819632010288374,0.10819632010288374,iJO1366,glucose_anaerobic
NDPK2,0.10270650670695995,0.10270650670695995,iJO1366,glucose_anaerobic
CHORS,0.09204083193932008,0.09204083193932008,iJO1366,glucose_anaerobic
PSCVT,0.09204083193932008,0.09204083193932008,iJO1366,glucose_anaerobic
SHKK,0.09204083193932007,0.09204083193932007,iJO1366,glucose_anaerobic
DDPA,0.09204083193932007,0.09204083193932007,iJO1366,glucose_anaerobic
SHK3Dr,0.09204083193932006,0.09204083193932006,iJO1366,glucose_anaerobic
DHQTi,0.09204083193932006,0.09204083193932006,iJO1366,glucose_anaerobic
DHQS,0.09204083193932006,0.09204083193932006,iJO1366,glucose_anaerobic
UMPK,0.09129700714346077,0.09129700714346077,iJO1366,glucose_anaerobic
SDPTA,-0.08958476110364179,0.08958476110364179,iJO1366,glucose_anaerobic
DHDPRy,0.08958476110364177,0.08958476110364177,iJO1366,glucose_anaerobic
DHDPS,0.08958476110364177,0.08958476110364177,iJO1366,glucose_anaerobic
SDPDS,0.08958476110364177,0.08958476110364177,iJO1366,glucose_anaerobic
DAPE,0.08958476110364177,0.08958476110364177,iJO1366,glucose_anaerobic
THDPS,0.08958476110364176,0.08958476110364176,iJO1366,glucose_anaerobic
EX_co2_e,-0.0882292128636448,0.0882292128636448,iJO1366,glucose_anaerobic
CO2tex,0.08822921286364478,0.08822921286364478,iJO1366,glucose_anaerobic
CO2tpp,0.08822921286363805,0.08822921286363805,iJO1366,glucose_anaerobic
ACOAD5f,-0.08594557413974438,0.08594557413974438,iJO1366,glucose_anaerobic
ACOAD4f,-0.08594557413974437,0.08594557413974437,iJO1366,glucose_anaerobic
ECOAH5,0.08594557413974437,0.08594557413974437,iJO1366,glucose_anaerobic
ECOAH4,0.08594557413974435,0.08594557413974435,iJO1366,glucose_anaerobic
HACD5,0.08594557413974435,0.08594557413974435,iJO1366,glucose_anaerobic
ACACT5r,0.08594557413974435,0.08594557413974435,iJO1366,glucose_anaerobic
ECOAH3,0.08594557413974434,0.08594557413974434,iJO1366,glucose_anaerobic
HACD4,0.08594557413974434,0.08594557413974434,iJO1366,glucose_anaerobic
ACACT4r,0.08594557413974434,0.08594557413974434,iJO1366,glucose_anaerobic
ACOAD3f,-0.08594557413974432,0.08594557413974432,iJO1366,glucose_anaerobic
ECOAH1,0.08594557413974432,0.08594557413974432,iJO1366,glucose_anaerobic
HACD3,0.08594557413974432,0.08594557413974432,iJO1366,glucose_anaerobic
ACACT3r,0.08594557413974432,0.08594557413974432,iJO1366,glucose_anaerobic
ACOAD2f,-0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
ACACT1r,0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
ECOAH2,0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
HACD1,0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
ACACT2r,0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
HACD2,0.08594557413974431,0.08594557413974431,iJO1366,glucose_anaerobic
ACOAD1f,-0.0859455741397443,0.0859455741397443,iJO1366,glucose_anaerobic
DAPDC,0.08287391583502532,0.08287391583502532,iJO1366,glucose_anaerobic
GARFT,0.08128362808154044,0.08128362808154044,iJO1366,glucose_anaerobic
SUCCtex,-0.08004907212165965,0.08004907212165965,iJO1366,glucose_anaerobic
EX_succ_e,0.08004907212165965,0.08004907212165965,iJO1366,glucose_anaerobic
SUCCt3pp,0.08004907212165964,0.08004907212165964,iJO1366,glucose_anaerobic
DHORTS,-0.07988750757996162,0.07988750757996162,iJO1366,glucose_anaerobic
OMPDC,0.07988750757996162,0.07988750757996162,iJO1366,glucose_anaerobic
DHORDfum,0.0798875075799616,0.0798875075799616,iJO1366,glucose_anaerobic
ORPT,-0.0798875075799616,0.0798875075799616,iJO1366,glucose_anaerobic
ASPCT,0.0798875075799616,0.0798875075799616,iJO1366,glucose_anaerobic
CHORM,0.0780977395403144,0.0780977395403144,iJO1366,glucose_anaerobic
ADSL1r,0.0722179011296601,0.0722179011296601,iJO1366,glucose_anaerobic
ADSS,0.07221790112966009,0.07221790112966009,iJO1366,glucose_anaerobic
AGPR,-0.07143422857688904,0.07143422857688904,iJO1366,glucose_anaerobic
ACOTA,-0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
ACGS,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
OCBT,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
ACGK,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
ARGSL,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
ARGSS,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
ACODA,0.07143422857688903,0.07143422857688903,iJO1366,glucose_anaerobic
KARA2,0.07016320588188654,0.07016320588188654,iJO1366,glucose_anaerobic
ILETA,-0.07016320588188654,0.07016320588188654,iJO1366,glucose_anaerobic
