reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,32.50818256163078,32.50818256163078,iML1515,acetate_aerobic
CYTBO3_4pp,21.854339510056793,21.854339510056793,iML1515,acetate_aerobic
H2Otex,-16.924531915145202,16.924531915145202,iML1515,acetate_aerobic
H2Otpp,-16.924531915145202,16.924531915145202,iML1515,acetate_aerobic
EX_h2o_e,16.9245319151452,16.9245319151452,iML1515,acetate_aerobic
NADH16pp,14.94668703504739,14.94668703504739,iML1515,acetate_aerobic
EX_co2_e,11.376392844235534,11.376392844235534,iML1515,acetate_aerobic
CO2tpp,-11.376392844235534,11.376392844235534,iML1515,acetate_aerobic
CO2tex,-11.376392844235534,11.376392844235534,iML1515,acetate_aerobic
O2tex,10.92803683444605,10.92803683444605,iML1515,acetate_aerobic
EX_o2_e,-10.92803683444605,10.92803683444605,iML1515,acetate_aerobic
O2tpp,10.92803683444605,10.92803683444605,iML1515,acetate_aerobic
MDH,10.683360097958,10.683360097958,iML1515,acetate_aerobic
PTAr,-10.12231681556728,10.12231681556728,iML1515,acetate_aerobic
ACKr,10.12231681556728,10.12231681556728,iML1515,acetate_aerobic
EX_ac_e,-10.0,10.0,iML1515,acetate_aerobic
ACtex,10.0,10.0,iML1515,acetate_aerobic
ACt2rpp,9.998906433639718,9.998906433639718,iML1515,acetate_aerobic
FUM,9.032381568736577,9.032381568736577,iML1515,acetate_aerobic
Htex,8.069524677952487,8.069524677952487,iML1515,acetate_aerobic
EX_h_e,-8.069524677952487,8.069524677952487,iML1515,acetate_aerobic
ACONTa,7.064271347325567,7.064271347325567,iML1515,acetate_aerobic
ACONTb,7.064271347325566,7.064271347325566,iML1515,acetate_aerobic
CS,7.064271347325566,7.064271347325566,iML1515,acetate_aerobic
ATPM,6.86,6.86,iML1515,acetate_aerobic
SUCDi,6.838494329908928,6.838494329908928,iML1515,acetate_aerobic
ICDHyr,5.413292818104142,5.413292818104142,iML1515,acetate_aerobic
AKGDH,5.1873958340416415,5.1873958340416415,iML1515,acetate_aerobic
SUCOAS,-5.077102575758952,5.077102575758952,iML1515,acetate_aerobic
GLUDy,-3.7601564299846335,3.7601564299846335,iML1515,acetate_aerobic
ASPTA,-2.5900507193429525,2.5900507193429525,iML1515,acetate_aerobic
NH4tpp,2.269053551952862,2.269053551952862,iML1515,acetate_aerobic
EX_nh4_e,-2.269053551952862,2.269053551952862,iML1515,acetate_aerobic
NH4tex,2.269053551952862,2.269053551952862,iML1515,acetate_aerobic
