reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,70.43249366231521,70.43249366231521,iML1515,fructose_aerobic
EX_h2o_e,47.16236480869388,47.16236480869388,iML1515,fructose_aerobic
H2Otex,-47.16236480869388,47.16236480869388,iML1515,fructose_aerobic
H2Otpp,-47.16236480869388,47.16236480869388,iML1515,fructose_aerobic
CYTBO3_4pp,44.25628774288389,44.25628774288389,iML1515,fructose_aerobic
NADH16pp,37.99704395949195,37.99704395949195,iML1515,fructose_aerobic
EX_co2_e,24.00329327297615,24.00329327297615,iML1515,fructose_aerobic
CO2tex,-24.00329327297615,24.00329327297615,iML1515,fructose_aerobic
CO2tpp,-24.00329327297615,24.00329327297615,iML1515,fructose_aerobic
O2tex,22.131763238945883,22.131763238945883,iML1515,fructose_aerobic
O2tpp,22.131763238945883,22.131763238945883,iML1515,fructose_aerobic
EX_o2_e,-22.131763238945883,22.131763238945883,iML1515,fructose_aerobic
PGK,-17.10543360355017,17.10543360355017,iML1515,fructose_aerobic
GAPD,17.105433603550168,17.105433603550168,iML1515,fructose_aerobic
ENO,15.598897532203713,15.598897532203713,iML1515,fructose_aerobic
PGM,-15.598897532203711,15.598897532203711,iML1515,fructose_aerobic
FRUtex,10.0,10.0,iML1515,fructose_aerobic
EX_fru_e,-10.0,10.0,iML1515,fructose_aerobic
PDH,9.689686793405828,9.689686793405828,iML1515,fructose_aerobic
NH4tpp,9.47149537104783,9.47149537104783,iML1515,fructose_aerobic
EX_nh4_e,-9.47149537104783,9.47149537104783,iML1515,fructose_aerobic
NH4tex,9.47149537104783,9.47149537104783,iML1515,fructose_aerobic
FRUptspp,8.451763770252594,8.451763770252594,iML1515,fructose_aerobic
FRUK,8.451763770252594,8.451763770252594,iML1515,fructose_aerobic
FBA,8.451763770252594,8.451763770252594,iML1515,fructose_aerobic
TPI,8.328231696622844,8.328231696622844,iML1515,fructose_aerobic
EX_h_e,8.058200328043307,8.058200328043307,iML1515,fructose_aerobic
Htex,-8.058200328043307,8.058200328043307,iML1515,fructose_aerobic
GLUDy,-7.499494782138681,7.499494782138681,iML1515,fructose_aerobic
ACONTa,6.913003110880975,6.913003110880975,iML1515,fructose_aerobic
CS,6.913003110880974,6.913003110880974,iML1515,fructose_aerobic
ACONTb,6.913003110880974,6.913003110880974,iML1515,fructose_aerobic
ICDHyr,6.913003110880974,6.913003110880974,iML1515,fructose_aerobic
MDH,6.88458840113339,6.88458840113339,iML1515,fructose_aerobic
FUM,6.884588401133386,6.884588401133386,iML1515,fructose_aerobic
ATPM,6.86,6.86,iML1515,fructose_aerobic
SUCDi,5.970563487316232,5.970563487316232,iML1515,fructose_aerobic
AKGDH,5.970062721906795,5.970062721906795,iML1515,fructose_aerobic
SUCOAS,-5.509676018215634,5.509676018215634,iML1515,fructose_aerobic
PPA,3.070860997140507,3.070860997140507,iML1515,fructose_aerobic
PPC,2.596107325082693,2.596107325082693,iML1515,fructose_aerobic
ASPTA,-2.567692615335105,2.567692615335105,iML1515,fructose_aerobic
PGL,2.3553662197941048,2.3553662197941048,iML1515,fructose_aerobic
GND,2.3553662197941048,2.3553662197941048,iML1515,fructose_aerobic
G6PDH2r,2.3553662197941048,2.3553662197941048,iML1515,fructose_aerobic
PGI,-2.3553662197941048,2.3553662197941048,iML1515,fructose_aerobic
PPM,-2.3013897801826997,2.3013897801826997,iML1515,fructose_aerobic
R15BPK,2.3007995610573904,2.3007995610573904,iML1515,fructose_aerobic
R1PK,2.3007995610573904,2.3007995610573904,iML1515,fructose_aerobic
PYK,2.117074763385416,2.117074763385416,iML1515,fructose_aerobic
FADRx,1.9170194410438033,1.9170194410438033,iML1515,fructose_aerobic
FRUpts2pp,1.5482362297474066,1.5482362297474066,iML1515,fructose_aerobic
PSP_L,1.5065360713464615,1.5065360713464615,iML1515,fructose_aerobic
PGCD,1.5065360713464613,1.5065360713464613,iML1515,fructose_aerobic
PSERT,1.5065360713464613,1.5065360713464613,iML1515,fructose_aerobic
PRPPS,-1.482849692080642,1.482849692080642,iML1515,fructose_aerobic
RPI,-1.4304625198275773,1.4304625198275773,iML1515,fructose_aerobic
GLNS,1.3737784255195027,1.3737784255195027,iML1515,fructose_aerobic
GHMT2r,0.9783188951026589,0.9783188951026589,iML1515,fructose_aerobic
ASPK,0.9375766740107436,0.9375766740107436,iML1515,fructose_aerobic
ASAD,-0.9375766740107435,0.9375766740107435,iML1515,fructose_aerobic
RPE,0.8899957028434754,0.8899957028434754,iML1515,fructose_aerobic
ALATA_L,-0.8813874624824067,0.8813874624824067,iML1515,fructose_aerobic
BIOMASS_Ec_iML1515_core_75p37M,0.8769972144269852,0.8769972144269852,iML1515,fructose_aerobic
MTHFD,0.866753009965114,0.866753009965114,iML1515,fructose_aerobic
MTHFC,0.8667530099651138,0.8667530099651138,iML1515,fructose_aerobic
PItex,0.8459567750193014,0.8459567750193014,iML1515,fructose_aerobic
EX_pi_e,-0.8459567750193014,0.8459567750193014,iML1515,fructose_aerobic
PIt2rpp,0.8459567750193013,0.8459567750193013,iML1515,fructose_aerobic
DHAD1,0.7668174233868802,0.7668174233868802,iML1515,fructose_aerobic
KARA1,-0.7668174233868802,0.7668174233868802,iML1515,fructose_aerobic
ACLS,0.7668174233868802,0.7668174233868802,iML1515,fructose_aerobic
NDPK1,0.6928400773582464,0.6928400773582464,iML1515,fructose_aerobic
HSDy,-0.6122554343162679,0.6122554343162679,iML1515,fructose_aerobic
TKT1,0.6119224317255193,0.6119224317255193,iML1515,fructose_aerobic
TALA,0.6119224317255193,0.6119224317255193,iML1515,fructose_aerobic
CBMKr,0.5495150535961614,0.5495150535961614,iML1515,fructose_aerobic
ACKr,0.5105755002783894,0.5105755002783894,iML1515,fructose_aerobic
PTAr,-0.5105755002783893,0.5105755002783893,iML1515,fructose_aerobic
HSK,0.47727591604659614,0.47727591604659614,iML1515,fructose_aerobic
THRS,0.47727591604659614,0.47727591604659614,iML1515,fructose_aerobic
AICART,0.4757990527374266,0.4757990527374266,iML1515,fructose_aerobic
IMPC,-0.4757990527374266,0.4757990527374266,iML1515,fructose_aerobic
HCO3E,0.4609707838358952,0.4609707838358952,iML1515,fructose_aerobic
IPMD,0.3951144320130041,0.3951144320130041,iML1515,fructose_aerobic
IPPS,0.3951144320130041,0.3951144320130041,iML1515,fructose_aerobic
IPPMIb,-0.3951144320130041,0.3951144320130041,iML1515,fructose_aerobic
OMCDC,0.3951144320130041,0.3951144320130041,iML1515,fructose_aerobic
IPPMIa,-0.3951144320130041,0.3951144320130041,iML1515,fructose_aerobic
