reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,69.23608277548428,69.23608277548428,iML1515,galactose_aerobic
H2Otpp,-47.3000249612982,47.3000249612982,iML1515,galactose_aerobic
H2Otex,-47.30002496129819,47.30002496129819,iML1515,galactose_aerobic
EX_h2o_e,47.300024961298185,47.300024961298185,iML1515,galactose_aerobic
CYTBO3_4pp,45.0685004933463,45.0685004933463,iML1515,galactose_aerobic
NADH16pp,38.61901955398998,38.61901955398998,iML1515,galactose_aerobic
EX_co2_e,24.389292101223617,24.389292101223617,iML1515,galactose_aerobic
CO2tex,-24.389292101223617,24.389292101223617,iML1515,galactose_aerobic
CO2tpp,-24.389292101223617,24.389292101223617,iML1515,galactose_aerobic
O2tpp,22.537830803081786,22.537830803081786,iML1515,galactose_aerobic
EX_o2_e,-22.537830803081786,22.537830803081786,iML1515,galactose_aerobic
O2tex,22.537830803081786,22.537830803081786,iML1515,galactose_aerobic
PGK,-17.1793652154192,17.1793652154192,iML1515,galactose_aerobic
GAPD,17.179365215419196,17.179365215419196,iML1515,galactose_aerobic
ENO,15.688983987421734,15.688983987421734,iML1515,galactose_aerobic
PGM,-15.688983987421732,15.688983987421732,iML1515,galactose_aerobic
UGLT,10.0,10.0,iML1515,galactose_aerobic
GALtex,10.0,10.0,iML1515,galactose_aerobic
UDPG4E,-10.0,10.0,iML1515,galactose_aerobic
EX_gal_e,-10.0,10.0,iML1515,galactose_aerobic
GALKr,9.999999999999998,9.999999999999998,iML1515,galactose_aerobic
PGMT,9.999999999999998,9.999999999999998,iML1515,galactose_aerobic
GALt2pp,9.999999999999998,9.999999999999998,iML1515,galactose_aerobic
PDH,9.843138723647353,9.843138723647353,iML1515,galactose_aerobic
NH4tex,9.369930910090165,9.369930910090165,iML1515,galactose_aerobic
EX_nh4_e,-9.369930910090165,9.369930910090165,iML1515,galactose_aerobic
NH4tpp,9.369930910090165,9.369930910090165,iML1515,galactose_aerobic
F6PA,8.511258454023617,8.511258454023617,iML1515,galactose_aerobic
DHAPT,8.511258454023617,8.511258454023617,iML1515,galactose_aerobic
TPI,8.389051035897321,8.389051035897321,iML1515,galactose_aerobic
EX_h_e,7.971790870978504,7.971790870978504,iML1515,galactose_aerobic
Htex,-7.971790870978504,7.971790870978504,iML1515,galactose_aerobic
PGI,7.798568821595129,7.798568821595129,iML1515,galactose_aerobic
GLUDy,-7.419076419972689,7.419076419972689,iML1515,galactose_aerobic
CS,7.096229894027632,7.096229894027632,iML1515,galactose_aerobic
ACONTa,7.096229894027631,7.096229894027631,iML1515,galactose_aerobic
ACONTb,7.09622989402763,7.09622989402763,iML1515,galactose_aerobic
ICDHyr,7.09622989402763,7.09622989402763,iML1515,galactose_aerobic
MDH,7.068119880060856,7.068119880060856,iML1515,galactose_aerobic
FUM,7.068119880060856,7.068119880060856,iML1515,galactose_aerobic
ATPM,6.86,6.86,iML1515,galactose_aerobic
SUCDi,6.163896211352093,6.163896211352093,iML1515,galactose_aerobic
AKGDH,6.163400815735586,6.163400815735586,iML1515,galactose_aerobic
SUCOAS,-5.707950917222543,5.707950917222543,iML1515,galactose_aerobic
PYK,3.521303320404129,3.521303320404129,iML1515,galactose_aerobic
PPA,3.0379316306960495,3.0379316306960495,iML1515,galactose_aerobic
PPC,2.5682688232696167,2.5682688232696167,iML1515,galactose_aerobic
ASPTA,-2.5401588093028407,2.5401588093028407,iML1515,galactose_aerobic
PGL,2.2014311784048695,2.2014311784048695,iML1515,galactose_aerobic
G6PDH2r,2.2014311784048695,2.2014311784048695,iML1515,galactose_aerobic
GND,2.2014311784048695,2.2014311784048695,iML1515,galactose_aerobic
FADRx,1.8964629144820675,1.8964629144820675,iML1515,galactose_aerobic
PSP_L,1.4903812279974633,1.4903812279974633,iML1515,galactose_aerobic
PSERT,1.490381227997463,1.490381227997463,iML1515,galactose_aerobic
PGCD,1.490381227997463,1.490381227997463,iML1515,galactose_aerobic
ADK1,1.4669488418180794,1.4669488418180794,iML1515,galactose_aerobic
RPI,-1.3722307436434034,1.3722307436434034,iML1515,galactose_aerobic
GLNS,1.3590471650587244,1.3590471650587244,iML1515,galactose_aerobic
GHMT2r,0.9678282146626767,0.9678282146626767,iML1515,galactose_aerobic
ASPK,0.9275228793593594,0.9275228793593594,iML1515,galactose_aerobic
ASAD,-0.9275228793593594,0.9275228793593594,iML1515,galactose_aerobic
BIOMASS_Ec_iML1515_core_75p37M,0.8675930236572137,0.8675930236572137,iML1515,galactose_aerobic
MTHFD,0.8574586695475884,0.8574586695475884,iML1515,galactose_aerobic
MTHFC,0.8574586695475883,0.8574586695475883,iML1515,galactose_aerobic
PItex,0.8368854361774278,0.8368854361774278,iML1515,galactose_aerobic
EX_pi_e,-0.8368854361774278,0.8368854361774278,iML1515,galactose_aerobic
PIt2rpp,0.8368854361774277,0.8368854361774277,iML1515,galactose_aerobic
PPM,-0.8097627430721664,0.8097627430721664,iML1515,galactose_aerobic
R15BPK,0.8091788529672453,0.8091788529672453,iML1515,galactose_aerobic
R1PK,0.8091788529672453,0.8091788529672453,iML1515,galactose_aerobic
RPE,0.7946667620478113,0.7946667620478113,iML1515,galactose_aerobic
KARA1,-0.7585947093160864,0.7585947093160864,iML1515,galactose_aerobic
DHAD1,0.7585947093160864,0.7585947093160864,iML1515,galactose_aerobic
ACLS,0.7585947093160864,0.7585947093160864,iML1515,galactose_aerobic
NDPK1,0.6854106349913882,0.6854106349913882,iML1515,galactose_aerobic
HSDy,-0.6056901148267395,0.6056901148267395,iML1515,galactose_aerobic
TKT1,0.5624680005712369,0.5624680005712369,iML1515,galactose_aerobic
TALA,0.5624680005712369,0.5624680005712369,iML1515,galactose_aerobic
CBMKr,0.5436225099143026,0.5436225099143026,iML1515,galactose_aerobic
ACKr,0.5051005120708982,0.5051005120708982,iML1515,galactose_aerobic
PTAr,-0.5051005120708981,0.5051005120708981,iML1515,galactose_aerobic
ALATA_L,-0.5048037952568079,0.5048037952568079,iML1515,galactose_aerobic
THRS,0.4721580049626342,0.4721580049626342,iML1515,galactose_aerobic
HSK,0.47215800496263416,0.47215800496263416,iML1515,galactose_aerobic
IMPC,-0.4706969783106539,0.4706969783106539,iML1515,galactose_aerobic
AICART,0.4706969783106538,0.4706969783106538,iML1515,galactose_aerobic
HCO3E,0.45602771546665694,0.45602771546665694,iML1515,galactose_aerobic
IPPMIa,-0.39087755254130824,0.39087755254130824,iML1515,galactose_aerobic
IPPS,0.3908775525413082,0.3908775525413082,iML1515,galactose_aerobic
IPPMIb,-0.3908775525413082,0.3908775525413082,iML1515,galactose_aerobic
OMCDC,0.3908775525413081,0.3908775525413081,iML1515,galactose_aerobic
IPMD,0.3908775525413081,0.3908775525413081,iML1515,galactose_aerobic
LEUTAi,0.3908775525413081,0.3908775525413081,iML1515,galactose_aerobic
PRAIS,0.3886964236796921,0.3886964236796921,iML1515,galactose_aerobic
PRFGS,0.3886964236796921,0.3886964236796921,iML1515,galactose_aerobic
GLUPRT,0.3886964236796921,0.3886964236796921,iML1515,galactose_aerobic
PRAGSr,0.3886964236796921,0.3886964236796921,iML1515,galactose_aerobic
PRASCSi,0.38850295043541655,0.38850295043541655,iML1515,galactose_aerobic
AIRC3,-0.3885029504354165,0.3885029504354165,iML1515,galactose_aerobic
AIRC2,0.3885029504354165,0.3885029504354165,iML1515,galactose_aerobic
ADSL2r,0.3885029504354165,0.3885029504354165,iML1515,galactose_aerobic
GARFT,0.3865682179926591,0.3865682179926591,iML1515,galactose_aerobic
PYK2,0.3689725638800109,0.3689725638800109,iML1515,galactose_aerobic
VALTA,-0.36713239907683387,0.36713239907683387,iML1515,galactose_aerobic
DHQTi,0.3306561855832137,0.3306561855832137,iML1515,galactose_aerobic
DHQS,0.3306561855832137,0.3306561855832137,iML1515,galactose_aerobic
DDPA,0.33065618558321364,0.33065618558321364,iML1515,galactose_aerobic
SHK3Dr,0.3306561855832136,0.3306561855832136,iML1515,galactose_aerobic
SHKK,0.3306561855832136,0.3306561855832136,iML1515,galactose_aerobic
CHORS,0.3306561855832136,0.3306561855832136,iML1515,galactose_aerobic
PSCVT,0.3306561855832136,0.3306561855832136,iML1515,galactose_aerobic
UMPK,0.3279839990703495,0.3279839990703495,iML1515,galactose_aerobic
DHDPS,0.3218327645326197,0.3218327645326197,iML1515,galactose_aerobic
DHDPRy,0.3218327645326197,0.3218327645326197,iML1515,galactose_aerobic
DAPE,0.32183276453261966,0.32183276453261966,iML1515,galactose_aerobic
THDPS,0.32183276453261966,0.32183276453261966,iML1515,galactose_aerobic
SDPTA,-0.32183276453261966,0.32183276453261966,iML1515,galactose_aerobic
SDPDS,0.32183276453261966,0.32183276453261966,iML1515,galactose_aerobic
HACD4,0.3087590052591294,0.3087590052591294,iML1515,galactose_aerobic
HACD3,0.3087590052591294,0.3087590052591294,iML1515,galactose_aerobic
HACD2,0.3087590052591294,0.3087590052591294,iML1515,galactose_aerobic
ACACT2r,0.3087590052591294,0.3087590052591294,iML1515,galactose_aerobic
ACOAD3f,-0.30875900525912936,0.30875900525912936,iML1515,galactose_aerobic
ACOAD4f,-0.30875900525912936,0.30875900525912936,iML1515,galactose_aerobic
ACACT3r,0.30875900525912936,0.30875900525912936,iML1515,galactose_aerobic
ACACT4r,0.30875900525912936,0.30875900525912936,iML1515,galactose_aerobic
ACOAD2f,-0.30875900525912936,0.30875900525912936,iML1515,galactose_aerobic
