model_name,condition,blocked_reaction_id
iML1515,glucose_anaerobic,ALATA_L2
iML1515,glucose_anaerobic,MAN6PI
iML1515,glucose_anaerobic,XYLK
iML1515,glucose_anaerobic,ALATA_D2
iML1515,glucose_anaerobic,CPPPGO
iML1515,glucose_anaerobic,EX_metsox_S__L_e
iML1515,glucose_anaerobic,GLYCTO2
iML1515,glucose_anaerobic,G3PD5
iML1515,glucose_anaerobic,EX_acgam_e
iML1515,glucose_anaerobic,POX
iML1515,glucose_anaerobic,EX_cellb_e
iML1515,glucose_anaerobic,EX_crn_e
iML1515,glucose_anaerobic,EX_chol_e
iML1515,glucose_anaerobic,EX_no3_e
iML1515,glucose_anaerobic,EX_gln__L_e
iML1515,glucose_anaerobic,EX_man_e
iML1515,glucose_anaerobic,EX_rib__D_e
iML1515,glucose_anaerobic,EX_dcyt_e
iML1515,glucose_anaerobic,EX_sbt__D_e
iML1515,glucose_anaerobic,EX_btn_e
iML1515,glucose_anaerobic,RMI
iML1515,glucose_anaerobic,LYSAM
iML1515,glucose_anaerobic,EX_alltn_e
iML1515,glucose_anaerobic,PYAM5PO
iML1515,glucose_anaerobic,EX_dgsn_e
iML1515,glucose_anaerobic,EX_arab__L_e
iML1515,glucose_anaerobic,EX_fru_e
iML1515,glucose_anaerobic,EX_gal_e
iML1515,glucose_anaerobic,EX_xyl__D_e
iML1515,glucose_anaerobic,HMPK1
iML1515,glucose_anaerobic,EX_duri_e
iML1515,glucose_anaerobic,EX_h2_e
iML1515,glucose_anaerobic,SUCBZS
iML1515,glucose_anaerobic,EX_thm_e
iML1515,glucose_anaerobic,EX_din_e
iML1515,glucose_anaerobic,RBK_L1
iML1515,glucose_anaerobic,RBP4E
iML1515,glucose_anaerobic,TARTD
iML1515,glucose_anaerobic,GLCRAL
iML1515,glucose_anaerobic,EX_gthox_e
iML1515,glucose_anaerobic,HEMEOS
iML1515,glucose_anaerobic,UGLT
iML1515,glucose_anaerobic,MNNH
iML1515,glucose_anaerobic,ALTRH
iML1515,glucose_anaerobic,GUI1
iML1515,glucose_anaerobic,EDTXS3
iML1515,glucose_anaerobic,DDGLK
iML1515,glucose_anaerobic,EDTXS4
iML1515,glucose_anaerobic,EX_tmao_e
iML1515,glucose_anaerobic,EX_melib_e
iML1515,glucose_anaerobic,DMQMT
iML1515,glucose_anaerobic,UDPG4E
iML1515,glucose_anaerobic,LACZ
iML1515,glucose_anaerobic,XYLI1
iML1515,glucose_anaerobic,EX_sucr_e
iML1515,glucose_anaerobic,ALDD4
iML1515,glucose_anaerobic,CINNDO
iML1515,glucose_anaerobic,DHPPD
iML1515,glucose_anaerobic,EX_tre_e
iML1515,glucose_anaerobic,DHCIND
iML1515,glucose_anaerobic,GOFUCR
iML1515,glucose_anaerobic,URIC
iML1515,glucose_anaerobic,OHPHM
iML1515,glucose_anaerobic,DHORD2
iML1515,glucose_anaerobic,RMPA
iML1515,glucose_anaerobic,SBTPD
