reaction_id,flux,absolute_flux,model_name,condition
EX_h_e,28.612477199631485,28.612477199631485,iML1515,glucose_anaerobic
Htex,-28.612477199631485,28.612477199631485,iML1515,glucose_anaerobic
PGK,-19.620951848589968,19.620951848589968,iML1515,glucose_anaerobic
GAPD,19.620951848589964,19.620951848589964,iML1515,glucose_anaerobic
ENO,19.35886451309732,19.35886451309732,iML1515,glucose_anaerobic
PGM,-19.358864513097316,19.358864513097316,iML1515,glucose_anaerobic
PFL,18.24479838173025,18.24479838173025,iML1515,glucose_anaerobic
EX_for_e,18.227718387397292,18.227718387397292,iML1515,glucose_anaerobic
FORtex,-18.227718387397292,18.227718387397292,iML1515,glucose_anaerobic
FORtppi,18.227718387397292,18.227718387397292,iML1515,glucose_anaerobic
PGI,10.0,10.0,iML1515,glucose_anaerobic
EX_glc__D_e,-10.0,10.0,iML1515,glucose_anaerobic
GLCtex_copy1,10.0,10.0,iML1515,glucose_anaerobic
GLCptspp,10.0,10.0,iML1515,glucose_anaerobic
FBA,9.862870779178456,9.862870779178456,iML1515,glucose_anaerobic
PFK,9.862870779178456,9.862870779178456,iML1515,glucose_anaerobic
TPI,9.84068003564426,9.84068003564426,iML1515,glucose_anaerobic
EX_ac_e,8.830865615569225,8.830865615569225,iML1515,glucose_anaerobic
ACt2rpp,-8.830865615569225,8.830865615569225,iML1515,glucose_anaerobic
ACtex,-8.830865615569225,8.830865615569225,iML1515,glucose_anaerobic
ALCD2x,-8.745756304866921,8.745756304866921,iML1515,glucose_anaerobic
ETOHtex,-8.745756304866921,8.745756304866921,iML1515,glucose_anaerobic
ACALD,-8.745756304866921,8.745756304866921,iML1515,glucose_anaerobic
ETOHtrpp,-8.745756304866921,8.745756304866921,iML1515,glucose_anaerobic
EX_etoh_e,8.745756304866921,8.745756304866921,iML1515,glucose_anaerobic
ACKr,-8.7391481397056,8.7391481397056,iML1515,glucose_anaerobic
PTAr,8.739148139705598,8.739148139705598,iML1515,glucose_anaerobic
PYK,8.556384727704613,8.556384727704613,iML1515,glucose_anaerobic
ATPM,6.86,6.86,iML1515,glucose_anaerobic
ATPS4rpp,-5.9641507230007615,5.9641507230007615,iML1515,glucose_anaerobic
H2Otex,4.591466306061574,4.591466306061574,iML1515,glucose_anaerobic
EX_h2o_e,-4.591466306061573,4.591466306061573,iML1515,glucose_anaerobic
H2Otpp,4.59146630606157,4.59146630606157,iML1515,glucose_anaerobic
THD2pp,1.9271897794115733,1.9271897794115733,iML1515,glucose_anaerobic
NH4tex,1.7014166320417117,1.7014166320417117,iML1515,glucose_anaerobic
EX_nh4_e,-1.7014166320417117,1.7014166320417117,iML1515,glucose_anaerobic
NH4tpp,1.7014166320417117,1.7014166320417117,iML1515,glucose_anaerobic
GLUDy,-1.3386353594561082,1.3386353594561082,iML1515,glucose_anaerobic
PPA,0.5517058567738345,0.5517058567738345,iML1515,glucose_anaerobic
PPC,0.5189152041967702,0.5189152041967702,iML1515,glucose_anaerobic
ASPTA,-0.4612486994457357,0.4612486994457357,iML1515,glucose_anaerobic
PPM,-0.41355178692989986,0.41355178692989986,iML1515,glucose_anaerobic
R15BPK,0.41337549987474637,0.41337549987474637,iML1515,glucose_anaerobic
R1PK,0.41337549987474637,0.41337549987474637,iML1515,glucose_anaerobic
FADRx,0.34436471044570877,0.34436471044570877,iML1515,glucose_anaerobic
PRPPS,-0.26644268127170956,0.26644268127170956,iML1515,glucose_anaerobic
PSP_L,0.26208733549265073,0.26208733549265073,iML1515,glucose_anaerobic
PSERT,0.2620873354926507,0.2620873354926507,iML1515,glucose_anaerobic
PGCD,0.2620873354926507,0.2620873354926507,iML1515,glucose_anaerobic
GLNS,0.2467793490206777,0.2467793490206777,iML1515,glucose_anaerobic
ACONTb,0.1693855508527606,0.1693855508527606,iML1515,glucose_anaerobic
ACONTa,0.1693855508527606,0.1693855508527606,iML1515,glucose_anaerobic
ICDHyr,0.1693855508527606,0.1693855508527606,iML1515,glucose_anaerobic
CS,0.1693855508527606,0.1693855508527606,iML1515,glucose_anaerobic
ASPK,0.16842203733237096,0.16842203733237096,iML1515,glucose_anaerobic
ASAD,-0.16842203733237093,0.16842203733237093,iML1515,glucose_anaerobic
GHMT2r,0.1672007886715064,0.1672007886715064,iML1515,glucose_anaerobic
VALTA,-0.15832846126117958,0.15832846126117958,iML1515,glucose_anaerobic
BIOMASS_Ec_iML1515_core_75p37M,0.15753981693759,0.15753981693759,iML1515,glucose_anaerobic
EX_pi_e,-0.15196385265699072,0.15196385265699072,iML1515,glucose_anaerobic
PItex,0.15196385265699072,0.15196385265699072,iML1515,glucose_anaerobic
PIt2rpp,0.1519638526569907,0.1519638526569907,iML1515,glucose_anaerobic
MTHFC,0.138619600003055,0.138619600003055,iML1515,glucose_anaerobic
MTHFD,0.138619600003055,0.138619600003055,iML1515,glucose_anaerobic
KARA1,-0.13774761711626976,0.13774761711626976,iML1515,glucose_anaerobic
DHAD1,0.13774761711626973,0.13774761711626973,iML1515,glucose_anaerobic
ACLS,0.13774761711626973,0.13774761711626973,iML1515,glucose_anaerobic
PYK3,0.12445866093816914,0.12445866093816914,iML1515,glucose_anaerobic
RPE,-0.12224359859874324,0.12224359859874324,iML1515,glucose_anaerobic
RPI,-0.11597288372535941,0.11597288372535941,iML1515,glucose_anaerobic
MDH,0.11171904610172616,0.11171904610172616,iML1515,glucose_anaerobic
FUM,0.11171904610172616,0.11171904610172616,iML1515,glucose_anaerobic
HSDy,-0.10998279977918889,0.10998279977918889,iML1515,glucose_anaerobic
CBMKr,0.09871240127547372,0.09871240127547372,iML1515,glucose_anaerobic
VPAMTr,-0.0916635972462351,0.0916635972462351,iML1515,glucose_anaerobic
TKT2,-0.09110737666591431,0.09110737666591431,iML1515,glucose_anaerobic
THRS,0.08573568901450747,0.08573568901450747,iML1515,glucose_anaerobic
HSK,0.08573568901450747,0.08573568901450747,iML1515,glucose_anaerobic
IMPC,-0.0854703919628202,0.0854703919628202,iML1515,glucose_anaerobic
AICART,0.0854703919628202,0.0854703919628202,iML1515,glucose_anaerobic
HCO3E,0.08280670873803929,0.08280670873803929,iML1515,glucose_anaerobic
SUCOAS,0.08270178721992336,0.08270178721992336,iML1515,glucose_anaerobic
IPPMIa,-0.07097657126470937,0.07097657126470937,iML1515,glucose_anaerobic
IPPS,0.07097657126470935,0.07097657126470935,iML1515,glucose_anaerobic
IPPMIb,-0.07097657126470935,0.07097657126470935,iML1515,glucose_anaerobic
LEUTAi,0.07097657126470935,0.07097657126470935,iML1515,glucose_anaerobic
IPMD,0.07097657126470935,0.07097657126470935,iML1515,glucose_anaerobic
OMCDC,0.07097657126470935,0.07097657126470935,iML1515,glucose_anaerobic
PRAIS,0.07058051616496389,0.07058051616496389,iML1515,glucose_anaerobic
PRFGS,0.07058051616496389,0.07058051616496389,iML1515,glucose_anaerobic
PRAGSr,0.07058051616496389,0.07058051616496389,iML1515,glucose_anaerobic
GLUPRT,0.07058051616496389,0.07058051616496389,iML1515,glucose_anaerobic
GARFT,0.07058051616496389,0.07058051616496389,iML1515,glucose_anaerobic
ADSL2r,0.0705453847857868,0.0705453847857868,iML1515,glucose_anaerobic
AIRC2,0.07054538478578679,0.07054538478578679,iML1515,glucose_anaerobic
PRASCSi,0.07054538478578679,0.07054538478578679,iML1515,glucose_anaerobic
AIRC3,-0.07054538478578679,0.07054538478578679,iML1515,glucose_anaerobic
NDPK2,0.06699900596666912,0.06699900596666912,iML1515,glucose_anaerobic
DHQTi,0.06004141749143739,0.06004141749143739,iML1515,glucose_anaerobic
