reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,44.399394951680414,44.399394951680414,iML1515,glycerol_aerobic
H2Otpp,-32.758299301979186,32.758299301979186,iML1515,glycerol_aerobic
H2Otex,-32.758299301979186,32.758299301979186,iML1515,glycerol_aerobic
EX_h2o_e,32.75829930197918,32.75829930197918,iML1515,glycerol_aerobic
CYTBO3_4pp,27.27302686599908,27.27302686599908,iML1515,glycerol_aerobic
NADH16pp,24.581290687258644,24.581290687258644,iML1515,glycerol_aerobic
O2tex,13.638555115582747,13.638555115582747,iML1515,glycerol_aerobic
EX_o2_e,-13.638555115582747,13.638555115582747,iML1515,glycerol_aerobic
O2tpp,13.638555115582747,13.638555115582747,iML1515,glycerol_aerobic
GLYCtex,10.0,10.0,iML1515,glycerol_aerobic
EX_glyc_e,-10.0,10.0,iML1515,glycerol_aerobic
GLYCtpp,-10.0,10.0,iML1515,glycerol_aerobic
CO2tex,-9.694283850029265,9.694283850029265,iML1515,glycerol_aerobic
CO2tpp,-9.694283850029265,9.694283850029265,iML1515,glycerol_aerobic
EX_co2_e,9.694283850029265,9.694283850029265,iML1515,glycerol_aerobic
GLYK,9.569527857949037,9.569527857949037,iML1515,glycerol_aerobic
G3PD2,9.50074883052516,9.50074883052516,iML1515,glycerol_aerobic
TPI,9.499843504834033,9.499843504834033,iML1515,glycerol_aerobic
GLUDy,-8.826161041753021,8.826161041753021,iML1515,glycerol_aerobic
GAPD,8.810063987642284,8.810063987642284,iML1515,glycerol_aerobic
PGK,-8.810063987642284,8.810063987642284,iML1515,glycerol_aerobic
MDH,8.023267082511746,8.023267082511746,iML1515,glycerol_aerobic
ENO,7.960228082751367,7.960228082751367,iML1515,glycerol_aerobic
PGM,-7.9602280827513665,7.9602280827513665,iML1515,glycerol_aerobic
PYK,6.872317493552964,6.872317493552964,iML1515,glycerol_aerobic
ATPM,6.86,6.86,iML1515,glycerol_aerobic
FUM,6.558804823845912,6.558804823845912,iML1515,glycerol_aerobic
PDH,6.104253523893936,6.104253523893936,iML1515,glycerol_aerobic
NH4tex,5.342863667466408,5.342863667466408,iML1515,glycerol_aerobic
NH4tpp,5.342863667466408,5.342863667466408,iML1515,glycerol_aerobic
EX_nh4_e,-5.342863667466408,5.342863667466408,iML1515,glycerol_aerobic
ASPTA,-4.962745741421391,4.962745741421391,iML1515,glycerol_aerobic
