reaction_id,flux,absolute_flux,model_name,condition
ATPS4rpp,48.26815151952237,48.26815151952237,iML1515,succinate_aerobic
CYTBO3_4pp,31.127352060307786,31.127352060307786,iML1515,succinate_aerobic
H2Otpp,-23.411560401531066,23.411560401531066,iML1515,succinate_aerobic
EX_h2o_e,23.411560401531062,23.411560401531062,iML1515,succinate_aerobic
H2Otex,-23.411560401531062,23.411560401531062,iML1515,succinate_aerobic
EX_co2_e,21.526026835890953,21.526026835890953,iML1515,succinate_aerobic
CO2tex,-21.526026835890953,21.526026835890953,iML1515,succinate_aerobic
CO2tpp,-21.526026835890953,21.526026835890953,iML1515,succinate_aerobic
NADH16pp,17.776350239590048,17.776350239590048,iML1515,succinate_aerobic
Htex,15.864427883911604,15.864427883911604,iML1515,succinate_aerobic
EX_h_e,-15.864427883911604,15.864427883911604,iML1515,succinate_aerobic
O2tex,15.56553353613759,15.56553353613759,iML1515,succinate_aerobic
O2tpp,15.56553353613759,15.56553353613759,iML1515,succinate_aerobic
EX_o2_e,-15.56553353613759,15.56553353613759,iML1515,succinate_aerobic
FUM,13.671936726626955,13.671936726626955,iML1515,succinate_aerobic
SUCDi,13.202847377502911,13.202847377502911,iML1515,succinate_aerobic
EX_succ_e,-10.0,10.0,iML1515,succinate_aerobic
SUCASPtpp,-10.0,10.0,iML1515,succinate_aerobic
ASPtpp,10.0,10.0,iML1515,succinate_aerobic
SUCCtex,9.999999999999998,9.999999999999998,iML1515,succinate_aerobic
MDH,7.233153694816086,7.233153694816086,iML1515,succinate_aerobic
ATPM,6.86,6.86,iML1515,succinate_aerobic
PDH,5.111549322704167,5.111549322704167,iML1515,succinate_aerobic
NH4tex,4.860893321037199,4.860893321037199,iML1515,succinate_aerobic
NH4tpp,4.860893321037199,4.860893321037199,iML1515,succinate_aerobic
EX_nh4_e,-4.860893321037199,4.860893321037199,iML1515,succinate_aerobic
GLUDy,-4.832676288354129,4.832676288354129,iML1515,succinate_aerobic
CS,3.6865195213620305,3.6865195213620305,iML1515,succinate_aerobic
ACONTa,3.6865195213620305,3.6865195213620305,iML1515,succinate_aerobic
ACONTb,3.68651952136203,3.68651952136203,iML1515,succinate_aerobic
ICDHyr,3.6865195213620296,3.6865195213620296,iML1515,succinate_aerobic
ME2,3.2627702076115668,3.2627702076115668,iML1515,succinate_aerobic
AKGDH,3.202590378250018,3.202590378250018,iML1515,succinate_aerobic
ME1,3.1760128241993004,3.1760128241993004,iML1515,succinate_aerobic
SUCOAS,-2.9663139968132195,2.9663139968132195,iML1515,succinate_aerobic
PPCK,2.2288612774748566,2.2288612774748566,iML1515,succinate_aerobic
ENO,-1.8557676755572612,1.8557676755572612,iML1515,succinate_aerobic
PGM,1.855767675557261,1.855767675557261,iML1515,succinate_aerobic
PPA,1.5760053852174642,1.5760053852174642,iML1515,succinate_aerobic
ASPTA,-1.3177728959791997,1.3177728959791997,iML1515,succinate_aerobic
ALATA_L,-1.2457190371412517,1.2457190371412517,iML1515,succinate_aerobic
PGK,1.0825939748663393,1.0825939748663393,iML1515,succinate_aerobic
GAPD,-1.0825939748663393,1.0825939748663393,iML1515,succinate_aerobic
ALAR,1.0025995442491267,1.0025995442491267,iML1515,succinate_aerobic
DAAD,0.9838390488741657,0.9838390488741657,iML1515,succinate_aerobic
PSP_L,0.7731737006909216,0.7731737006909216,iML1515,succinate_aerobic
PSERT,0.7731737006909215,0.7731737006909215,iML1515,succinate_aerobic
PGCD,0.7731737006909215,0.7731737006909215,iML1515,succinate_aerobic
ADK1,0.7610175460118045,0.7610175460118045,iML1515,succinate_aerobic
GLNS,0.7050407682831002,0.7050407682831002,iML1515,succinate_aerobic
GHMT2r,0.5020858477728848,0.5020858477728848,iML1515,succinate_aerobic
ASPK,0.48117641556263,0.48117641556263,iML1515,succinate_aerobic
ASAD,-0.48117641556262997,0.48117641556262997,iML1515,succinate_aerobic
TPI,-0.45503825628748495,0.45503825628748495,iML1515,succinate_aerobic
BIOMASS_Ec_iML1515_core_75p37M,0.45008625725638773,0.45008625725638773,iML1515,succinate_aerobic
MTHFC,0.44482879968540723,0.44482879968540723,iML1515,succinate_aerobic
MTHFD,0.4448287996854072,0.4448287996854072,iML1515,succinate_aerobic
PItex,0.4341559042671029,0.4341559042671029,iML1515,succinate_aerobic
EX_pi_e,-0.4341559042671029,0.4341559042671029,iML1515,succinate_aerobic
PIt2rpp,0.4341559042671028,0.4341559042671028,iML1515,succinate_aerobic
PPM,-0.42008530769272123,0.42008530769272123,iML1515,succinate_aerobic
R15BPK,0.4197823996415877,0.4197823996415877,iML1515,succinate_aerobic
R1PK,0.4197823996415877,0.4197823996415877,iML1515,succinate_aerobic
ACLS,0.39354057049849606,0.39354057049849606,iML1515,succinate_aerobic
KARA1,-0.39354057049849606,0.39354057049849606,iML1515,succinate_aerobic
DHAD1,0.39354057049849606,0.39354057049849606,iML1515,succinate_aerobic
FBA,-0.39164000626286494,0.39164000626286494,iML1515,succinate_aerobic
FBP,0.39164000626286494,0.39164000626286494,iML1515,succinate_aerobic
NDPK1,0.3555744444401635,0.3555744444401635,iML1515,succinate_aerobic
RPE,-0.34911225598722173,0.34911225598722173,iML1515,succinate_aerobic
RPI,-0.33119702260339073,0.33119702260339073,iML1515,succinate_aerobic
HSDy,-0.3142173685196301,0.3142173685196301,iML1515,succinate_aerobic
CBMKr,0.2820181976755083,0.2820181976755083,iML1515,succinate_aerobic
PTAr,-0.26203391776706747,0.26203391776706747,iML1515,succinate_aerobic
ACKr,0.26203391776706747,0.26203391776706747,iML1515,succinate_aerobic
TKT2,-0.2602239708978914,0.2602239708978914,iML1515,succinate_aerobic
THRS,0.24494414257904232,0.24494414257904232,iML1515,succinate_aerobic
HSK,0.2449441425790423,0.2449441425790423,iML1515,succinate_aerobic
IMPC,-0.24418619732183797,0.24418619732183797,iML1515,succinate_aerobic
AICART,0.24418619732183797,0.24418619732183797,iML1515,succinate_aerobic
HCO3E,0.23657613888414664,0.23657613888414664,iML1515,succinate_aerobic
IPPMIb,-0.20277781156797764,0.20277781156797764,iML1515,succinate_aerobic
IPMD,0.20277781156797764,0.20277781156797764,iML1515,succinate_aerobic
IPPS,0.20277781156797764,0.20277781156797764,iML1515,succinate_aerobic
IPPMIa,-0.20277781156797764,0.20277781156797764,iML1515,succinate_aerobic
LEUTAi,0.2027778115679776,0.2027778115679776,iML1515,succinate_aerobic
OMCDC,0.2027778115679776,0.2027778115679776,iML1515,succinate_aerobic
GLUPRT,0.2016462947172505,0.2016462947172505,iML1515,succinate_aerobic
PRAIS,0.20164629471725048,0.20164629471725048,iML1515,succinate_aerobic
PRAGSr,0.20164629471725048,0.20164629471725048,iML1515,succinate_aerobic
PRFGS,0.20164629471725046,0.20164629471725046,iML1515,succinate_aerobic
AIRC2,0.2015459254818823,0.2015459254818823,iML1515,succinate_aerobic
PRASCSi,0.2015459254818823,0.2015459254818823,iML1515,succinate_aerobic
AIRC3,-0.2015459254818823,0.2015459254818823,iML1515,succinate_aerobic
ADSL2r,0.2015459254818823,0.2015459254818823,iML1515,succinate_aerobic
GARFT,0.20054223312820044,0.20054223312820044,iML1515,succinate_aerobic
NDPK2,0.1914140337447684,0.1914140337447684,iML1515,succinate_aerobic
VALTA,-0.19045940079312756,0.19045940079312756,iML1515,succinate_aerobic
SHK3Dr,0.17153642427929733,0.17153642427929733,iML1515,succinate_aerobic
DHQS,0.17153642427929733,0.17153642427929733,iML1515,succinate_aerobic
DDPA,0.17153642427929733,0.17153642427929733,iML1515,succinate_aerobic
DHQTi,0.17153642427929733,0.17153642427929733,iML1515,succinate_aerobic
SHKK,0.1715364242792973,0.1715364242792973,iML1515,succinate_aerobic
CHORS,0.1715364242792973,0.1715364242792973,iML1515,succinate_aerobic
PSCVT,0.1715364242792973,0.1715364242792973,iML1515,succinate_aerobic
UMPK,0.17015015860694763,0.17015015860694763,iML1515,succinate_aerobic
DHDPS,0.16695904704299974,0.16695904704299974,iML1515,succinate_aerobic
DHDPRy,0.16695904704299971,0.16695904704299971,iML1515,succinate_aerobic
THDPS,0.16695904704299971,0.16695904704299971,iML1515,succinate_aerobic
SDPTA,-0.16695904704299971,0.16695904704299971,iML1515,succinate_aerobic
DAPE,0.16695904704299971,0.16695904704299971,iML1515,succinate_aerobic
SDPDS,0.16695904704299971,0.16695904704299971,iML1515,succinate_aerobic
ACACT1r,0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
ACACT5r,0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
ACOAD1fr,0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
ACOAD5f,-0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
ACACT2r,0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
HACD5,0.16017669723240338,0.16017669723240338,iML1515,succinate_aerobic
ACOAD2f,-0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ACOAD3f,-0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ECOAH3,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ECOAH5,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
HACD2,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
HACD1,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
HACD3,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ACOAD4f,-0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ACACT4r,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ACACT3r,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ECOAH2,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ECOAH4,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
HACD4,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
ECOAH1,0.16017669723240335,0.16017669723240335,iML1515,succinate_aerobic
DAPDC,0.15445205012635924,0.15445205012635924,iML1515,succinate_aerobic
ORPT,-0.14888628346912686,0.14888628346912686,iML1515,succinate_aerobic
DHORD2,0.14888628346912686,0.14888628346912686,iML1515,succinate_aerobic
OMPDC,0.14888628346912686,0.14888628346912686,iML1515,succinate_aerobic
DHORTS,-0.14888628346912683,0.14888628346912683,iML1515,succinate_aerobic
ASPCT,0.14888628346912683,0.14888628346912683,iML1515,succinate_aerobic
CHORM,0.1455506942165997,0.1455506942165997,iML1515,succinate_aerobic
ADSL1r,0.13471261714188124,0.13471261714188124,iML1515,succinate_aerobic
ADSS,0.13471261714188124,0.13471261714188124,iML1515,succinate_aerobic
ACODA,0.13313191420638146,0.13313191420638146,iML1515,succinate_aerobic
OCBT,0.13313191420638146,0.13313191420638146,iML1515,succinate_aerobic
ACGK,0.13313191420638143,0.13313191420638143,iML1515,succinate_aerobic
ARGSL,0.13313191420638143,0.13313191420638143,iML1515,succinate_aerobic
ARGSS,0.13313191420638143,0.13313191420638143,iML1515,succinate_aerobic
ACOTA,-0.13313191420638143,0.13313191420638143,iML1515,succinate_aerobic
ACGS,0.1331319142063814,0.1331319142063814,iML1515,succinate_aerobic
AGPR,-0.1331319142063814,0.1331319142063814,iML1515,succinate_aerobic
DHAD2,0.13076311023444107,0.13076311023444107,iML1515,succinate_aerobic
ACHBS,0.13076311023444107,0.13076311023444107,iML1515,succinate_aerobic
THRD_L,0.13076311023444107,0.13076311023444107,iML1515,succinate_aerobic
